w	aiii	av	biii	bv	fiii	fv	giii	gv	kiii	kv	miii	mv
2005.0	0.546367	0.644395	5.230836	4.925354	0.171462	0.048003	0.000341	0.007119	0.000000	0.000000	0.000000	0.000000
2010.0	0.507673	0.610335	5.273001	4.794370	0.169013	0.038555	0.000766	0.005476	0.000000	0.000000	0.000000	0.000000
2015.0	0.527286	0.608527	5.485879	4.985375	0.153178	0.074320	0.001256	0.006159	0.000000	0.000000	0.000000	0.000000
2020.0	0.516846	0.607278	5.530772	5.068687	0.175327	0.071656	0.001794	0.008399	0.000000	0.000000	0.000000	0.000000
2025.0	0.491823	0.614305	5.530672	4.983259	0.186978	0.065006	0.002362	0.006360	0.000000	0.000000	0.000000	0.000000
2030.0	0.491118	0.617175	5.494597	4.916572	0.186865	0.068785	0.002942	0.005854	0.000000	0.000000	0.000000	0.000000
2035.0	0.526743	0.626261	5.354147	4.895544	0.190017	0.064758	0.003515	0.008801	0.000000	0.000000	0.000000	0.000000
2040.0	0.509464	0.639940	5.284850	4.854277	0.178560	0.060776	0.004065	0.011189	0.000000	0.000000	0.000000	0.000000
2045.0	0.485977	0.641850	5.269146	4.748825	0.191100	0.069431	0.004572	0.011544	0.000000	0.000000	0.000000	0.000000
2050.0	0.533716	0.696646	5.268941	4.713237	0.230792	0.083349	0.005020	0.012756	0.000000	0.000000	0.000000	0.000000
2055.0	0.579573	0.715428	5.363589	4.694940	0.231589	0.080528	0.005396	0.008982	0.000000	0.000000	0.000001	0.000000
2060.0	0.524017	0.650878	5.121720	4.570488	0.223817	0.071641	0.005710	0.009672	0.000000	0.000000	0.000001	0.000000
2065.0	0.497433	0.647524	5.160482	4.576801	0.213521	0.078231	0.005980	0.010517	0.000000	0.000000	0.000001	0.000000
2070.0	0.550517	0.668823	5.334743	4.770959	0.217707	0.101114	0.006222	0.013435	0.000000	0.000000	0.000002	0.000000
2075.0	0.595112	0.681769	5.442739	4.817688	0.247599	0.089670	0.006453	0.013418	0.000000	0.000000	0.000002	0.000000
2080.0	0.615108	0.716492	5.480396	4.765894	0.282021	0.110657	0.006691	0.013108	0.000000	0.000000	0.000003	0.000000
2085.0	0.643033	0.741952	5.355181	4.757999	0.287977	0.130941	0.006950	0.013256	0.000000	0.000000	0.000003	0.000000
2090.0	0.629196	0.749978	5.349559	4.812218	0.274643	0.123597	0.007249	0.009770	0.000000	0.000000	0.000004	0.000000
2095.0	0.616659	0.730749	5.205006	4.674112	0.268220	0.103636	0.007604	0.011903	0.000000	0.000000	0.000005	0.000000
2100.0	0.595618	0.710472	4.940793	4.503481	0.244406	0.121062	0.008032	0.018507	0.000000	0.000000	0.000005	0.000000
2105.0	0.575772	0.692581	4.967067	4.556956	0.235862	0.122430	0.008544	0.020693	0.000000	0.000000	0.000006	0.000000
2110.0	0.542826	0.671304	5.152805	4.528964	0.232700	0.129517	0.009126	0.014922	0.000000	0.000000	0.000007	0.000000
2115.0	0.529692	0.659397	5.213839	4.594402	0.223887	0.140884	0.009759	0.018359	0.000000	0.000000	0.000007	0.000000
2120.0	0.550592	0.642535	5.120949	4.514286	0.229554	0.141236	0.010426	0.021511	0.000000	0.000000	0.000008	0.000000
2125.0	0.574088	0.686194	5.119145	4.433325	0.247151	0.151000	0.011106	0.016434	0.000000	0.000000	0.000008	0.000000
2130.0	0.563935	0.690718	5.322941	4.640930	0.230465	0.172057	0.011782	0.014465	0.000000	0.000000	0.000009	0.000000
2135.0	0.459592	0.585100	4.995738	4.481403	0.189963	0.135861	0.012434	0.017537	0.000000	0.000000	0.000009	0.000000
2140.0	0.409099	0.514737	4.674445	4.301099	0.186008	0.129792	0.013042	0.020113	0.000000	0.000000	0.000010	0.000000
2145.0	0.458167	0.540255	4.741615	4.284903	0.223987	0.125561	0.013590	0.018565	0.000000	0.000000	0.000010	0.000000
2150.0	0.495696	0.612948	4.702291	4.219919	0.241711	0.143223	0.014056	0.021147	0.000000	0.000000	0.000011	0.000000
2155.0	0.492842	0.620163	4.833554	4.246516	0.243282	0.162731	0.014428	0.023041	0.000000	0.000000	0.000011	0.000000
2160.0	0.519009	0.629078	4.990195	4.325057	0.240982	0.153187	0.014712	0.019227	0.000000	0.000000	0.000011	0.000000
2165.0	0.496139	0.604543	4.782668	4.134305	0.230408	0.129064	0.014917	0.018464	0.000000	0.000000	0.000011	0.000000
2170.0	0.465175	0.567451	4.581147	4.095047	0.207349	0.131901	0.015054	0.013554	0.000000	0.000000	0.000011	0.000000
2175.0	0.444376	0.536790	4.554282	4.075443	0.200024	0.116925	0.015135	0.015007	0.000000	0.000000	0.000011	0.000000
2180.0	0.416226	0.535045	4.515563	3.943645	0.216261	0.105891	0.015170	0.019166	0.000000	0.000000	0.000012	0.000000
2185.0	0.464041	0.580701	4.573955	3.951428	0.249353	0.117032	0.015169	0.028026	0.000000	0.000000	0.000012	0.000000
2190.0	0.540903	0.615626	4.750926	4.043644	0.266073	0.161894	0.015143	0.033004	0.000000	0.000000	0.000013	0.000000
2195.0	0.569667	0.630337	4.721886	4.078991	0.264691	0.170484	0.015104	0.033598	0.000000	0.000000	0.000014	0.000000
2200.0	0.574567	0.655744	4.577155	4.159249	0.257719	0.172117	0.015060	0.029709	0.000000	0.000000	0.000015	0.000000
